c_ClaveProdServ,Descripción,Incluir IVA trasladado,Incluir IEPS trasladado,Complemento que debe incluir,FechaInicioVigencia,FechaFinVigencia,Estímulo Franja Fronteriza,Palabras similares
10121701,Salmuera fresca o congelada,Opcional,Opcional,,43472,,1,
10121702,Alimento granulado para peces,Opcional,Opcional,,43472,,1,
10121703,Alimento en hojuelas para peces,Opcional,Opcional,,43472,,1,
10121800,Alimento para perros y gatos,Opcional,Opcional,,43472,,1,
10121801,Comida seca para perros,Opcional,Opcional,,43472,,1,
10121802,Comida húmeda para perros,Opcional,Opcional,,43472,,1,
10121803,Leche para perros o gatos,Opcional,Opcional,,43472,,1,
10121804,Comida seca para gatos,Opcional,Opcional,,43472,,1,
10121805,Comida húmeda para gatos,Opcional,Opcional,,43472,,1,
10121806,Botanas o comida recreacional para gatos o perros,Opcional,Opcional,,43472,,1,
10121900,Alimento para roedores,Opcional,Opcional,,43472,,1,
10121901,Comida granulada para roedores,Opcional,Opcional,,43472,,1,
10122000,Alimento para reptiles,Opcional,Opcional,,43472,,1,
10122001,Comida granulada para reptiles,Opcional,Opcional,,43472,,1,
10122002,Comida húmeda para reptiles,Opcional,Opcional,,43472,,1,
10122003,Comida viva para reptiles,Opcional,Opcional,,43472,,1,
10122100,Comida para animales variados,Opcional,Opcional,,43472,,1,Comida para diversos animales
10122101,Comida para cerdos,Opcional,Opcional,,43472,,1,"Comida para chanchos, Comida para cochinillos, Comida para cochinos, Comida para cuche, Comida para cuinos, Comida para gorrinos, Comida para lechones, Comida para marranos, Comida para porcinos, Comida para puercos, Comida para lechones"
10122102,Comida para visones,Opcional,Opcional,,43472,,1,
10122103,Comida para monos,Opcional,Opcional,,43472,,1,
10122104,Comida para conejos,Opcional,Opcional,,43472,,1,
10131500,Cobertizos para animales,Opcional,Opcional,,43472,,1,
10131506,Establos para ganado,Opcional,Opcional,,43472,,1,
10131507,Casas para mascotas domesticadas,Opcional,Opcional,,43472,,1,
10131508,Camas para mascotas,Opcional,Opcional,,43472,,1,
10131600,Recipientes para animales,Opcional,Opcional,,43472,,1,Contenedores de comida para animales
10131601,Jaulas o sus accesorios,Opcional,Opcional,,43472,,1,
10131602,Perreras,Opcional,Opcional,,43472,,1,
10131603,Equipaje para el transporte de animales,Opcional,Opcional,,43472,,1,
10131604,Correas para perros,Opcional,Opcional,,43472,,1,
10131700,Hábitat para animales,Opcional,Opcional,,43472,,1,Ambientes para animales
10131701,Terrarios,Opcional,Opcional,,43472,,1,
10131702,Acuarios,Opcional,Opcional,,43472,,1,
10141500,Talabartería,Opcional,Opcional,,43472,,1,Guarniciones para caballerías
10141501,Sillas de montar,Opcional,Opcional,,43472,,1,
10141502,Fustas y látigos,Opcional,Opcional,,43472,,1,
10141503,Herraduras para caballo,Opcional,Opcional,,43472,,1,
10141504,Herraduras para mula,Opcional,Opcional,,43472,,1,
